scheme_code,scheme_name
100874,HDFC Liquid Fund - IDCW Plan Weekly
100875,HDFC Liquid Fund - IDCW Daily
100876,HDFC Liquid Fund - IDCW Monthly
100900,HDFC Childrens Fund - Growth Plan
100915,SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
100927,SBI Conservative Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)
100928,SBI Conservative Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW)
100929,SBI Conservative Hybrid Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW)
100948,Franklin India Conservative Hybrid Fund - Growth
100949,Franklin India Conservative Hybrid Fund - Plan A - Monthly - IDCW
100950,Franklin India Conservative Hybrid Fund - Plan A - Quarterly - IDCW
100968,SBI Conservative Hybrid Fund - Regular Plan - Growth
100997,HDFC Long Term Advantage Plan - IDCW Plan
100998,HDFC Long Term Advantage Plan - Growth Plan
100999,SBI Magnum Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
101001,SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH
101002,SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH
101003,SBI Magnum Constant Maturity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
101042,Tata Gilt Securities Fund -Regular Plan- Growth Option
101044,Franklin India Floating Rate Fund - IDCW
101048,Franklin India Floating Rate Fund - Growth Plan
101049,Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option
101065,quant Mid Cap Fund - Growth Option - Regular Plan
101066,quant Mid Cap Fund - IDCW Option - Regular Plan
101069,quant Aggressive Hybrid Fund-IDCW Option - Regular Plan
101070,quant Aggressive Hybrid Fund - Growth Option - Regular Plan
101071,quant Multi Asset Allocation Fund - IDCW Option - Regular Plan
101072,quant Multi Asset Allocation Fund-GROWTH OPTION - Regular Plan
101078,JM Liquid Fund (Regular) - Daily IDCW
101083,HDFC Gilt Fund - Growth Plan
101084,HDFC Gilt Fund - IDCW Plan
101127,ICICI Prudential Children's Fund - Regular Plan
101143,ICICI Prudential Multi-Asset Fund - IDCW
101144,ICICI Prudential Multi-Asset Fund - Growth
101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option
101162,Nippon India Multi Cap Fund-Growth Plan-Bonus Option
101163,NIPPON INDIA MULTI CAP FUND - IDCW Option
101165,ICICI Prudential Short Term Fund - Monthly IDCW
101169,SBI Magnum Children's Benefit Fund - Savings Plan - REGULAR PLAN - GROWTH
101181,JM Medium to Long Duration Fund (Regular) - Bonus Option- Principal Units
101184,LIC MF Liquid Fund-Regular Plan-Daily IDCW
101185,LIC MF Liquid Fund-Regular Plan-Growth
101186,Tata Income Fund- Regular Plan - Periodic Payout of IDCW Option
101187,Baroda BNP Paribas GILT FUND - Regular Plan - Growth Option
101188,Baroda BNP Paribas GILT FUND - Regular Plan - IDCW Option
101198,LIC MF BSE Sensex Index Fund-Regular Plan-IDCW
101199,LIC MF BSE Sensex Index Fund-Regular Plan-Growth
101200,LIC MF Nifty 50 Index Fund-Regular Plan-IDCW
101201,LIC MF Nifty 50 Index Fund-Regular Plan-Growth
101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH
101209,Taurus Large Cap Fund - Regular Plan - Growth
101222,Tata Aggressive Hybrid Fund- Regular Plan - Periodic Payout of IDCW Option
101224,Tata Dynamic Bond Fund- Regular Plan - Payout of IDCW Option
101228,ICICI Prudential Multicap Fund - Growth
101232,Franklin India Short-Term Income Plan-Growth
101236,Franklin India Short Term Income Plan -  Retail Plan - Monthly - IDCW
101238,Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW
101242,Franklin India Short Term Income Plan -  Retail Plan - Weekly - IDCW
101244,Franklin India Short-Term Income Plan-Institutional Plan - Growth
101262,Nippon India Power & Infra Fund-Growth Plan -Growth Option
101263,Nippon India Power & Infra Fund-Growth Plan-Bonus Option
101264,NIPPON INDIA POWER & INFRA FUND - IDCW Option
101271,LIC MF Children's Fund-Regular Plan-Growth
101281,HDFC BSE Sensex Index Fund - Growth Plan
