scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active,rejection_reason
119758,KOTAK GILT INVESTMENT - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL -,Kotak Gilt Investment - Of Income Distribution Cum Capital Withdrawal -,kotakgiltinvestmentofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119759,KOTAK GILT INVESTMENT - -,Kotak Gilt Investment - -,kotakgiltinvestment,unknown,True,Unknown Category
119764,KOTAK LIQUID FUND - - DAILY OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Liquid Fund - - Daily Of Income Distribution Cum Capital Withdrawal,kotakliquiddailyofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119766,KOTAK LIQUID FUND - -,Kotak Liquid Fund - -,kotakliquid,unknown,True,Unknown Category
119767,KOTAK AGGRESSIVE HYBRID FUND - - - & OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Aggressive Hybrid Fund - - - & Of Income Distribution Cum Capital Withdrawal,kotakaggressivehybridofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119768,KOTAK CONTRA FUND - - - & RE INVESTMENT OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL -,Kotak Contra Fund - - - & Re Investment Of Income Distribution Cum Capital Withdrawal -,kotakcontrareinvestmentofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119769,KOTAK CONTRA FUND - -,Kotak Contra Fund - -,kotakcontra,unknown,True,Unknown Category
119770,KOTAK ARBITRAGE FUND - - - & OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Arbitrage Fund - - - & Of Income Distribution Cum Capital Withdrawal,kotakarbitrageofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119771,KOTAK ARBITRAGE FUND - -,Kotak Arbitrage Fund - -,kotakarbitrage,unknown,True,Unknown Category
119772,KOTAK ELSS TAX SAVER FUND- OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL -,Kotak Elss Tax Saver Fund- Of Income Distribution Cum Capital Withdrawal -,kotakelsstaxsaverofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119773,KOTAK ELSS TAX SAVER FUND- -,Kotak Elss Tax Saver Fund- -,kotakelsstaxsaver,unknown,True,Unknown Category
119776,KOTAK MULTI ASSET OMNI FOF - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Multi Asset Omni Fof - Of Income Distribution Cum Capital Withdrawal,kotakmultiassetomnifofofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119777,KOTAK MULTI ASSET OMNI FOF - -,Kotak Multi Asset Omni Fof - -,kotakmultiassetomnifof,unknown,True,Unknown Category
119778,KOTAK GLOBAL EMERGING MARKET OVERSEAS EQUITY OMNI FOF - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL -,Kotak Global Emerging Market Overseas Equity Omni Fof - Of Income Distribution Cum Capital Withdrawal -,kotakglobalemergingmarketoverseasequityomnifofofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119779,KOTAK GLOBAL EMERGING MARKET OVERSEAS EQUITY OMNI FOF - -,Kotak Global Emerging Market Overseas Equity Omni Fof - -,kotakglobalemergingmarketoverseasequityomnifof,unknown,True,Unknown Category
119780,KOTAK GOLD FUND OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL -,Kotak Gold Fund Of Income Distribution Cum Capital Withdrawal -,kotakgoldofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119781,KOTAK GOLD FUND -,Kotak Gold Fund -,kotakgold,unknown,True,Unknown Category
119782,SBI HEALTHCARE OPPORTUNITIES FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Healthcare Opportunities Fund - - Income Distribution Cum Capital Withdrawal ( ),sbihealthcareopportunitiesincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119783,SBI HEALTHCARE OPPORTUNITIES FUND - -,Sbi Healthcare Opportunities Fund - -,sbihealthcareopportunities,unknown,True,Unknown Category
119784,SBI MAGNUM ULTRA SHORT DURATION FUND - - DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Magnum Ultra Short Duration Fund - - Daily Income Distribution Cum Capital Withdrawal ( ),sbimagnumultrashortdurationdailyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119785,L&T CREDIT RISK FUND - -,L&T Credit Risk Fund - -,ltcreditrisk,unknown,True,Unknown Category
119786,L&T CREDIT RISK FUND- -,L&T Credit Risk Fund- -,ltcreditrisk,unknown,True,Unknown Category
119788,SBI GOLD FUND- -,Sbi Gold Fund- -,sbigold,unknown,True,Unknown Category
119789,SBI GOLD FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Gold Fund - - Income Distribution Cum Capital Withdrawal ( ),sbigoldincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119790,L&T LIQUID FUND - -,L&T Liquid Fund - -,ltliquid,unknown,True,Unknown Category
119791,L&T LIQUID FUND - -DAILY,L&T Liquid Fund - -Daily,ltliquiddaily,unknown,True,Unknown Category
119792,SBI CREDIT RISK FUND - - DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Credit Risk Fund - - Daily Income Distribution Cum Capital Withdrawal ( ),sbicreditriskdailyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119793,SBI CREDIT RISK FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Credit Risk Fund - - Income Distribution Cum Capital Withdrawal ( ),sbicreditriskincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119794,L&T BANKING AND PSU DEBT FUND - -,L&T Banking And Psu Debt Fund - -,ltbankingandpsudebt,unknown,True,Unknown Category
119795,L&T BANKING AND PSU DEBT FUND - -,L&T Banking And Psu Debt Fund - -,ltbankingandpsudebt,unknown,True,Unknown Category
119796,L&T BANKING AND PSU DEBT FUND - - DAILY,L&T Banking And Psu Debt Fund - - Daily,ltbankingandpsudebtdaily,unknown,True,Unknown Category
119797,L&T BANKING AND PSU DEBT FUND - - WEEKLY,L&T Banking And Psu Debt Fund - - Weekly,ltbankingandpsudebtweekly,unknown,True,Unknown Category
119798,SBI CREDIT RISK FUND - -,Sbi Credit Risk Fund - -,sbicreditrisk,unknown,True,Unknown Category
119799,SBI LIQUID FUND - - WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Liquid Fund - - Weekly Income Distribution Cum Capital Withdrawal ( ),sbiliquidweeklyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119800,SBI LIQUID FUND - -,Sbi Liquid Fund - -,sbiliquid,unknown,True,Unknown Category
119801,L&T EQUITY SAVINGS FUND- -,L&T Equity Savings Fund- -,ltequitysavings,unknown,True,Unknown Category
119802,L&T EQUITY SAVINGS FUND - -,L&T Equity Savings Fund - -,ltequitysavings,unknown,True,Unknown Category
119803,L&T EQUITY SAVINGS FUND - -,L&T Equity Savings Fund - -,ltequitysavings,unknown,True,Unknown Category
119804,SBI LIQUID FUND - PALN - FORTNIGHTLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Liquid Fund - Paln - Fortnightly Income Distribution Cum Capital Withdrawal ( ),sbiliquidpalnfortnightlyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
