scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active
106235,NIPPON INDIA LARGE CAP FUND- -,Nippon India Large Cap Fund- -,nipponlargecap,large_cap,True
106236,NIPPON INDIA LARGE CAP FUND -,Nippon India Large Cap Fund -,nipponlargecap,large_cap,True
106240,NIPPON INDIA LARGE CAP FUND-,Nippon India Large Cap Fund-,nipponlargecap,large_cap,True
106260,NIPPON INDIA MID CAP FUND - INSTITUTIONAL -,Nippon India Mid Cap Fund - Institutional -,nipponmidcapinstitutional,mid_cap,True
106822,ICICI PRUDENTIAL SMALLCAP FUND -,Icici Prudential Smallcap Fund -,iciciprudentialsmallcap,small_cap,True
106823,ICICI PRUDENTIAL SMALLCAP FUND -,Icici Prudential Smallcap Fund -,iciciprudentialsmallcap,small_cap,True
106871,LIC MF LARGE CAP FUND- -,Lic Mf Large Cap Fund- -,licmflargecap,large_cap,True
106929,KOTAK NIFTY PSU BANK ETF,Kotak Nifty Psu Bank Etf,kotakniftypsubanketf,index_fund,True
107352,INVESCO INDIA MULTICAP FUND - - ( / ),Invesco India Multicap Fund - - ( / ),invescomulticap,multi_cap,True
107353,INVESCO INDIA MULTICAP FUND - -,Invesco India Multicap Fund - -,invescomulticap,multi_cap,True
107578,MIRAE ASSET LARGE CAP FUND -,Mirae Asset Large Cap Fund -,miraeassetlargecap,large_cap,True
107579,MIRAE ASSET LARGE CAP FUND,Mirae Asset Large Cap Fund,miraeassetlargecap,large_cap,True
108403,TAURUS LARGE CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Taurus Large Cap Fund - - Of Income Distribution Cum Capital Withdrawal,tauruslargecapofincomedistributioncumcapitalwithdrawal,large_cap,True
108465,ICICI PRUDENTIAL LARGE CAP FUND (ERSTWHILE BLUECHIP FUND) -,Icici Prudential Large Cap Fund (Erstwhile Bluechip Fund) -,iciciprudentiallargecaperstwhilebluechip,large_cap,True
108466,ICICI PRUDENTIAL LARGE CAP FUND (ERSTWHILE BLUECHIP FUND) -,Icici Prudential Large Cap Fund (Erstwhile Bluechip Fund) -,iciciprudentiallargecaperstwhilebluechip,large_cap,True
108479,QUANTUM NIFTY 50 ETF,Quantum Nifty 50 Etf,quantumnifty50etf,index_fund,True
108594,BANDHAN FLEXI CAP FUND - -,Bandhan Flexi Cap Fund - -,bandhanflexicap,multi_cap,True
108595,BANDHAN FLEXI CAP FUND - -,Bandhan Flexi Cap Fund - -,bandhanflexicap,multi_cap,True
108596,BANDHAN LARGE & MID CAP FUND - -,Bandhan Large & Mid Cap Fund - -,bandhanlargemidcap,mid_cap,True
108597,BANDHAN LARGE & MID CAP FUND - -,Bandhan Large & Mid Cap Fund - -,bandhanlargemidcap,mid_cap,True
108799,BANDHAN LARGE CAP FUND - -,Bandhan Large Cap Fund - -,bandhanlargecap,large_cap,True
108800,BANDHAN LARGE CAP FUND - -,Bandhan Large Cap Fund - -,bandhanlargecap,large_cap,True
109010,KOTAK BSE SENSEX ETF,Kotak Bse Sensex Etf,kotakbsesensexetf,index_fund,True
109522,JM FLEXICAP FUND ( ) -,Jm Flexicap Fund ( ) -,jmflexicap,multi_cap,True
109523,JM FLEXICAP FUND ( ) -,Jm Flexicap Fund ( ) -,jmflexicap,multi_cap,True
109830,QUANT FLEXI CAP FUND - -,Quant Flexi Cap Fund - -,quantflexicap,multi_cap,True
109831,QUANT FLEXI CAP FUND - -,Quant Flexi Cap Fund - -,quantflexicap,multi_cap,True
110598,BANK OF INDIA LARGE & MID CAP FUND -,Bank Of India Large & Mid Cap Fund -,bankoflargemidcap,mid_cap,True
110599,BANK OF INDIA LARGE & MID CAP FUND ECO -,Bank Of India Large & Mid Cap Fund Eco -,bankoflargemidcapeco,mid_cap,True
110601,BANK OF INDIA LARGE & MID CAP FUND ECO -,Bank Of India Large & Mid Cap Fund Eco -,bankoflargemidcapeco,mid_cap,True
110603,BANK OF INDIA LARGE & MID CAP FUND -,Bank Of India Large & Mid Cap Fund -,bankoflargemidcap,mid_cap,True
110604,BANK OF INDIA LARGE & MID CAP FUND ECO -,Bank Of India Large & Mid Cap Fund Eco -,bankoflargemidcapeco,mid_cap,True
110606,BANK OF INDIA LARGE & MID CAP FUND -,Bank Of India Large & Mid Cap Fund -,bankoflargemidcap,mid_cap,True
110607,BANK OF INDIA LARGE & MID CAP FUND -,Bank Of India Large & Mid Cap Fund -,bankoflargemidcap,mid_cap,True
110608,BANK OF INDIA LARGE & MID CAP FUND ECO -,Bank Of India Large & Mid Cap Fund Eco -,bankoflargemidcapeco,mid_cap,True
111640,TAURUS FLEXI CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Taurus Flexi Cap Fund - - Of Income Distribution Cum Capital Withdrawal,taurusflexicapofincomedistributioncumcapitalwithdrawal,multi_cap,True
111642,TAURUS MID CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Taurus Mid Cap Fund - - Of Income Distribution Cum Capital Withdrawal,taurusmidcapofincomedistributioncumcapitalwithdrawal,mid_cap,True
111935,EDELWEISS LARGE CAP FUND - B -,Edelweiss Large Cap Fund - B -,edelweisslargecapb,large_cap,True
111936,EDELWEISS LARGE CAP FUND - -,Edelweiss Large Cap Fund - -,edelweisslargecap,large_cap,True
111937,EDELWEISS LARGE CAP FUND - C -,Edelweiss Large Cap Fund - C -,edelweisslargecapc,large_cap,True
111938,EDELWEISS LARGE CAP FUND - B -,Edelweiss Large Cap Fund - B -,edelweisslargecapb,large_cap,True
111939,EDELWEISS LARGE CAP FUND - C -,Edelweiss Large Cap Fund - C -,edelweisslargecapc,large_cap,True
111940,EDELWEISS LARGE CAP FUND - -,Edelweiss Large Cap Fund - -,edelweisslargecap,large_cap,True
111954,SBI GOLD ETF,Sbi Gold Etf,sbigoldetf,index_fund,True
112089,KOTAK FLEXICAP FUND - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Flexicap Fund - Of Income Distribution Cum Capital Withdrawal,kotakflexicapofincomedistributioncumcapitalwithdrawal,multi_cap,True
112090,KOTAK FLEXICAP FUND -,Kotak Flexicap Fund -,kotakflexicap,multi_cap,True
112098,INVESCO INDIA LARGECAP FUND - -,Invesco India Largecap Fund - -,invescolargecap,large_cap,True
112099,INVESCO INDIA LARGECAP FUND - - ( / ),Invesco India Largecap Fund - - ( / ),invescolargecap,large_cap,True
112277,AXIS LARGE CAP FUND - -,Axis Large Cap Fund - -,axislargecap,large_cap,True
112278,AXIS LARGE CAP FUND - -,Axis Large Cap Fund - -,axislargecap,large_cap,True
112327,BANDHAN CONSERVATIVE HYBRID PASSIVE FOF - -,Bandhan Conservative Hybrid Passive Fof - -,bandhanconservativehybridpassivefof,index_fund,True
112328,BANDHAN CONSERVATIVE HYBRID PASSIVE FOF - -,Bandhan Conservative Hybrid Passive Fof - -,bandhanconservativehybridpassivefof,index_fund,True
112329,BANDHAN MULTI ASSET PASSIVE FOF - -,Bandhan Multi Asset Passive Fof - -,bandhanmultiassetpassivefof,index_fund,True
112330,BANDHAN MULTI ASSET PASSIVE FOF - -,Bandhan Multi Asset Passive Fof - -,bandhanmultiassetpassivefof,index_fund,True
112331,BANDHAN AGGRESSIVE HYBRID PASSIVE FOF - -,Bandhan Aggressive Hybrid Passive Fof - -,bandhanaggressivehybridpassivefof,index_fund,True
112332,BANDHAN AGGRESSIVE HYBRID PASSIVE FOF - -,Bandhan Aggressive Hybrid Passive Fof - -,bandhanaggressivehybridpassivefof,index_fund,True
112351,KOTAK NIFTY 50 ETF,Kotak Nifty 50 Etf,kotaknifty50etf,index_fund,True
112495,L&T MID CAP FUND- -,L&T Mid Cap Fund- -,ltmidcap,mid_cap,True
112496,L&T MID CAP FUND- -,L&T Mid Cap Fund- -,ltmidcap,mid_cap,True
112877,BANDHAN NIFTY 50 INDEX FUND - -,Bandhan Nifty 50 Index Fund - -,bandhannifty50index,index_fund,True
112878,BANDHAN NIFTY 50 INDEX FUND - -,Bandhan Nifty 50 Index Fund - -,bandhannifty50index,index_fund,True
112931,MIRAE ASSET LARGE & MIDCAP FUND - -,Mirae Asset Large & Midcap Fund - -,miraeassetlargemidcap,mid_cap,True
112932,MIRAE ASSET LARGE & MIDCAP FUND - -,Mirae Asset Large & Midcap Fund - -,miraeassetlargemidcap,mid_cap,True
112943,BARODA LARGE CAP FUND - A -,Baroda Large Cap Fund - A -,barodalargecapa,large_cap,True
112944,BARODA LARGE CAP FUND - A -,Baroda Large Cap Fund - A -,barodalargecapa,large_cap,True
112948,TAURUS NIFTY 50 INDEX FUND - -,Taurus Nifty 50 Index Fund - -,taurusnifty50index,index_fund,True
112949,TAURUS NIFTY 50 INDEX FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Taurus Nifty 50 Index Fund - - Of Income Distribution Cum Capital Withdrawal,taurusnifty50indexofincomedistributioncumcapitalwithdrawal,index_fund,True
112957,ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND -,Icici Prudential Nifty Next 50 Index Fund -,iciciprudentialniftynext50index,index_fund,True
112958,ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND -,Icici Prudential Nifty Next 50 Index Fund -,iciciprudentialniftynext50index,index_fund,True
113049,HDFC GOLD ETF -,Hdfc Gold Etf -,hdfcgoldetf,index_fund,True
113062,IDBI NIFTY 50 INDEX FUND,Idbi Nifty 50 Index Fund,idbinifty50index,index_fund,True
113063,IDBI NIFTY 50 INDEX FUND,Idbi Nifty 50 Index Fund,idbinifty50index,index_fund,True
113069,MOTILAL OSWAL NIFTY 50 ETF,Motilal Oswal Nifty 50 Etf,motilaloswalnifty50etf,index_fund,True
113076,ICICI PRUDENTIAL GOLD ETF,Icici Prudential Gold Etf,iciciprudentialgoldetf,index_fund,True
113153,DSP SMALL CAP FUND - -,Dsp Small Cap Fund - -,dspsmallcap,small_cap,True
