scheme_code,scheme_name,canonical_scheme_name,match_key,category
108596,BANDHAN LARGE & MID CAP FUND - -,BANDHAN LARGE & MID CAP FUND - -,bandhanlargemidcap,mid_cap
108597,BANDHAN LARGE & MID CAP FUND - -,BANDHAN LARGE & MID CAP FUND - -,bandhanlargemidcap,mid_cap
108799,BANDHAN LARGE CAP FUND - -,BANDHAN LARGE CAP FUND - -,bandhanlargecap,large_cap
108800,BANDHAN LARGE CAP FUND - -,BANDHAN LARGE CAP FUND - -,bandhanlargecap,large_cap
109010,KOTAK BSE SENSEX ETF,KOTAK BSE SENSEX ETF,kotakbsesensexetf,index_fund
109522,JM FLEXICAP FUND ( ) -,JM FLEXICAP FUND ( ) -,jmflexicap,multi_cap
109523,JM FLEXICAP FUND ( ) -,JM FLEXICAP FUND ( ) -,jmflexicap,multi_cap
109830,QUANT FLEXI CAP FUND - -,QUANT FLEXI CAP FUND - -,quantflexicap,multi_cap
109831,QUANT FLEXI CAP FUND - -,QUANT FLEXI CAP FUND - -,quantflexicap,multi_cap
110598,BANK OF INDIA LARGE & MID CAP FUND -,BANK OF INDIA LARGE & MID CAP FUND -,bankoflargemidcap,mid_cap
110599,BANK OF INDIA LARGE & MID CAP FUND ECO -,BANK OF INDIA LARGE & MID CAP FUND ECO -,bankoflargemidcapeco,mid_cap
110601,BANK OF INDIA LARGE & MID CAP FUND ECO -,BANK OF INDIA LARGE & MID CAP FUND ECO -,bankoflargemidcapeco,mid_cap
110603,BANK OF INDIA LARGE & MID CAP FUND -,BANK OF INDIA LARGE & MID CAP FUND -,bankoflargemidcap,mid_cap
110604,BANK OF INDIA LARGE & MID CAP FUND ECO -,BANK OF INDIA LARGE & MID CAP FUND ECO -,bankoflargemidcapeco,mid_cap
110606,BANK OF INDIA LARGE & MID CAP FUND -,BANK OF INDIA LARGE & MID CAP FUND -,bankoflargemidcap,mid_cap
110607,BANK OF INDIA LARGE & MID CAP FUND -,BANK OF INDIA LARGE & MID CAP FUND -,bankoflargemidcap,mid_cap
110608,BANK OF INDIA LARGE & MID CAP FUND ECO -,BANK OF INDIA LARGE & MID CAP FUND ECO -,bankoflargemidcapeco,mid_cap
111640,TAURUS FLEXI CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,TAURUS FLEXI CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,taurusflexicapofincomedistributioncumcapitalwithdrawal,multi_cap
111642,TAURUS MID CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,TAURUS MID CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,taurusmidcapofincomedistributioncumcapitalwithdrawal,mid_cap
111935,EDELWEISS LARGE CAP FUND - B -,EDELWEISS LARGE CAP FUND - B -,edelweisslargecapb,large_cap
111936,EDELWEISS LARGE CAP FUND - -,EDELWEISS LARGE CAP FUND - -,edelweisslargecap,large_cap
111937,EDELWEISS LARGE CAP FUND - C -,EDELWEISS LARGE CAP FUND - C -,edelweisslargecapc,large_cap
111938,EDELWEISS LARGE CAP FUND - B -,EDELWEISS LARGE CAP FUND - B -,edelweisslargecapb,large_cap
111939,EDELWEISS LARGE CAP FUND - C -,EDELWEISS LARGE CAP FUND - C -,edelweisslargecapc,large_cap
111940,EDELWEISS LARGE CAP FUND - -,EDELWEISS LARGE CAP FUND - -,edelweisslargecap,large_cap
111954,SBI GOLD ETF,SBI GOLD ETF,sbigoldetf,index_fund
112089,KOTAK FLEXICAP FUND - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,KOTAK FLEXICAP FUND - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,kotakflexicapofincomedistributioncumcapitalwithdrawal,multi_cap
112090,KOTAK FLEXICAP FUND -,KOTAK FLEXICAP FUND -,kotakflexicap,multi_cap
112098,INVESCO INDIA LARGECAP FUND - -,INVESCO INDIA LARGECAP FUND - -,invescolargecap,large_cap
112099,INVESCO INDIA LARGECAP FUND - - ( / ),INVESCO INDIA LARGECAP FUND - - ( / ),invescolargecap,large_cap
112277,AXIS LARGE CAP FUND - -,AXIS LARGE CAP FUND - -,axislargecap,large_cap
112278,AXIS LARGE CAP FUND - -,AXIS LARGE CAP FUND - -,axislargecap,large_cap
112327,BANDHAN CONSERVATIVE HYBRID PASSIVE FOF - -,BANDHAN CONSERVATIVE HYBRID PASSIVE FOF - -,bandhanconservativehybridpassivefof,index_fund
112328,BANDHAN CONSERVATIVE HYBRID PASSIVE FOF - -,BANDHAN CONSERVATIVE HYBRID PASSIVE FOF - -,bandhanconservativehybridpassivefof,index_fund
112329,BANDHAN MULTI ASSET PASSIVE FOF - -,BANDHAN MULTI ASSET PASSIVE FOF - -,bandhanmultiassetpassivefof,index_fund
